Rating (Stars),Number of Reviews,Free Delivery,Storage,New Bought Last Month,New Dashed MRP,New Discount (%),RAM,Brand_apple,Brand_oneplus,Brand_oppo,Brand_realme,Brand_samsung,Brand_vivo,Brand_xiaomi,Color_Black,Color_Black Titanium,Color_Blue,Color_Blue Titanium,Color_Gold,Color_Gray,Color_Green,Color_Midnight,Color_Natural Titanium,Color_Pink,Color_Purple,Color_Red,Color_Silver,Color_Starlight,Color_White,Color_Yellow
0.888889,-0.2792164295801125,-1,2.960907252683379,-0.49271377581378994,4.67972475105384,-0.415385,-0.6521719925422409,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.722222,-0.02521001360383554,-1,-0.6310130210636709,5.511538082600447,-0.6338397592524774,-0.846154,0.13255528303704076,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.777778,0.13772361595545637,-1,-0.6310130210636709,5.511538082600447,-0.43320296614332193,0.138462,0.13255528303704076,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.777778,4.525404448091531,-1,-0.6310130210636709,1.908986967551905,-0.6672792247706699,-0.353846,0.13255528303704076,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.722222,-0.02521001360383554,-1,-0.6310130210636709,4.3106877109176,-0.6338397592524774,-0.846154,0.13255528303704076,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.777778,4.525404448091531,-1,-0.6310130210636709,0.7081365958690575,-0.6672792247706699,-0.384615,0.13255528303704076,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.777778,0.20467928209146244,-1,-0.6310130210636709,1.908986967551905,-0.5000818971797071,-1.0,0.13255528303704076,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.722222,-0.02521001360383554,-1,-0.6310130210636709,0.7081365958690575,-0.6338397592524774,-0.846154,0.13255528303704076,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.833333,-0.015072647790813866,-1,0.5662937368520125,0.7081365958690575,0.20214687870233689,-0.661538,3.2714643853541676,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.777778,-0.16582508778445876,-1,0.5662937368520125,0.7081365958690575,-0.23256617303416652,-1.0,0.13255528303704076,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.833333,-0.015072647790813866,-1,0.5662937368520125,0.10771141002763378,0.10182848214775916,-0.723077,0.13255528303704076,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.777778,0.20467928209146244,-1,0.5662937368520125,1.908986967551905,-0.43320296614332193,-1.0,0.13255528303704076,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.944444,-0.2331895186709899,-1,2.960907252683379,-0.012373627140650973,1.0046940511389586,-0.876923,3.2714643853541676,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.777778,0.20467928209146244,-1,0.5662937368520125,1.908986967551905,-0.43320296614332193,-1.0,0.13255528303704076,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.722222,-0.02521001360383554,-1,0.5662937368520125,0.10771141002763378,-0.5335213626978996,-0.876923,0.13255528303704076,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.777778,-0.16582508778445876,-1,0.5662937368520125,0.7081365958690575,-0.23256617303416652,-1.0,0.13255528303704076,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.833333,0.15628153562929442,1,-0.6310130210636709,1.908986967551905,0.0015100855931814568,-0.138462,0.13255528303704076,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.833333,-0.015072647790813866,1,0.5662937368520125,0.10771141002763378,0.20214687870233689,-0.661538,3.2714643853541676,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.722222,-0.14465107370726027,1,-0.6310130210636709,-0.3726287386455052,-0.19912670751597397,0.138462,0.13255528303704076,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.888889,-0.251829191294933,1,2.960907252683379,-0.012373627140650973,1.0046940511389586,-0.876923,3.2714643853541676,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.777778,-0.16582508778445876,1,-0.6310130210636709,0.10771141002763378,-0.33288456958874424,-1.0,0.13255528303704076,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.833333,-0.015072647790813866,1,-0.6310130210636709,0.10771141002763378,-0.13224777647958882,-1.0,0.13255528303704076,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.777778,-0.16582508778445876,1,0.5662937368520125,0.10771141002763378,-0.23256617303416652,-1.0,0.13255528303704076,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.777778,-0.16582508778445876,1,0.5662937368520125,0.10771141002763378,-0.13224777647958882,-1.0,1.702009834195604,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.722222,-0.08039325492471966,1,-0.6310130210636709,-0.3726287386455052,-0.19912670751597397,0.138462,0.13255528303704076,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.722222,-0.02521001360383554,1,0.5662937368520125,0.10771141002763378,-0.5335213626978996,-0.753846,0.13255528303704076,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.777778,4.525404448091531,1,0.5662937368520125,-0.13245866430893571,-0.5335213626978996,-0.323077,0.13255528303704076,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.888889,-0.22403318825922838,1,0.5662937368520125,-0.25254370147722044,0.737178326993418,-1.0,1.702009834195604,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.777778,-0.16582508778445876,1,-0.6310130210636709,0.10771141002763378,-0.33288456958874424,-1.0,0.13255528303704076,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.777778,-0.16582508778445876,1,0.5662937368520125,0.10771141002763378,-0.13224777647958882,-1.0,1.702009834195604,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.777778,4.525404448091531,1,0.5662937368520125,-0.3726287386455052,-0.6004002937342848,-0.753846,0.13255528303704076,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.777778,-0.27717260582748715,1,0.5662937368520125,-0.13245866430893571,0.10182848214775916,-0.723077,0.13255528303704076,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.944444,-0.28812750114155894,1,0.5662937368520125,-0.3726287386455052,0.8374967235479956,-0.846154,1.702009834195604,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.833333,-0.28976256014365925,1,2.960907252683379,-0.13245866430893571,3.3454566374124384,-0.107692,3.2714643853541676,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.777778,-0.21708418750030223,1,-0.6310130210636709,-0.49271377581378994,0.5699809994024552,-1.0,0.13255528303704076,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5,-0.30325179691098647,1,0.5662937368520125,-0.49271377581378994,0.23558634422052943,0.323077,1.702009834195604,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.833333,12.03065227953219,1,-0.6310130210636709,-0.3726287386455052,-0.6672792247706699,-0.6,-0.6521719925422409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0,-0.3041510793621416,1,-0.6310130210636709,-0.49271377581378994,-0.19912670751597397,0.446154,0.13255528303704076,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.055556,-0.29548526665101016,1,-0.6310130210636709,-0.49271377581378994,-0.6004002937342848,-0.169231,0.13255528303704076,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.888889,-0.12086096522670134,1,0.5662937368520125,-0.49271377581378994,0.737178326993418,-1.0,3.2714643853541676,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.888889,-0.24201883728233134,1,0.5662937368520125,-0.25254370147722044,0.26902580973872203,-0.538462,1.702009834195604,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
