Rating (Stars),Number of Reviews,Current MRP,Free Delivery,Brand,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%),RAM
4.0,556.0,14714.0,1,realme,128.0,Red,200,20999,30.0,6.0
4.0,137.0,17965.0,1,realme,128.0,Blue,100,24999,28.0,8.0
4.0,556.0,14833.0,1,realme,128.0,Green,100,20999,29.0,6.0
4.1,40.0,20999.0,1,realme,256.0,Black,200,23999,13.0,12.0
4.4,52.0,17999.0,1,realme,128.0,Green,200,20999,14.0,8.0
4.1,5176.0,17499.0,0,samsung,128.0,Black,400,25999,33.0,8.0
4.1,357.0,37989.0,0,samsung,128.0,Black,50,42999,12.0,8.0
3.9,936.0,11999.0,0,samsung,128.0,Blue,4000,16999,29.0,6.0
3.9,936.0,11999.0,0,samsung,128.0,Black,4000,16999,29.0,6.0
3.9,936.0,11999.0,0,samsung,128.0,Blue,3000,16999,29.0,6.0
4.1,5176.0,15999.0,0,samsung,128.0,Blue,2000,24499,35.0,6.0
4.1,5176.0,15999.0,0,samsung,128.0,Blue,1000,24499,35.0,6.0
4.1,5176.0,15999.0,0,samsung,128.0,Black,1000,24499,35.0,6.0
3.8,220.0,29499.0,0,samsung,128.0,Black,400,33999,13.0,8.0
4.0,18.0,17499.0,0,samsung,128.0,Black,50,19999,13.0,6.0
3.9,936.0,13499.0,0,samsung,128.0,Blue,1000,17999,25.0,8.0
4.1,5176.0,20499.0,0,samsung,256.0,Blue,500,27499,25.0,8.0
3.8,1747.0,12299.0,0,samsung,128.0,Black,0,15999,23.0,4.0
3.6,72.0,30999.0,0,samsung,128.0,Black,200,33999,9.0,8.0
3.9,936.0,13499.0,0,samsung,128.0,Blue,500,17999,25.0,8.0
3.6,600.0,20999.0,0,samsung,128.0,Green,400,28999,28.0,8.0
3.9,936.0,10999.0,0,samsung,128.0,Blue,500,15999,31.0,4.0
4.1,35296.0,16799.0,0,samsung,128.0,Green,300,25999,35.0,16.0
3.8,1747.0,12299.0,0,samsung,128.0,Blue,0,15999,23.0,4.0
4.1,5176.0,20499.0,0,samsung,256.0,Blue,1000,27499,25.0,8.0
3.9,936.0,10999.0,0,samsung,128.0,Blue,500,15999,31.0,4.0
3.6,600.0,20999.0,0,samsung,128.0,Black,300,28999,28.0,8.0
4.2,55.0,32499.0,0,samsung,256.0,Black,100,36999,12.0,8.0
4.1,5176.0,17499.0,0,samsung,128.0,Blue,500,25999,33.0,8.0
3.8,1747.0,12299.0,0,samsung,128.0,Blue,0,15999,23.0,4.0
3.9,66.0,32499.0,0,samsung,256.0,Black,200,36999,12.0,8.0
3.9,936.0,10999.0,0,samsung,128.0,Black,200,15999,31.0,4.0
4.1,357.0,43989.0,0,samsung,256.0,Black,100,48999,10.0,12.0
3.9,936.0,13499.0,0,samsung,128.0,Black,400,17999,25.0,8.0
3.9,1799.0,31990.0,0,samsung,256.0,Black,0,74999,57.0,8.0
3.9,1799.0,34999.0,0,samsung,256.0,Black,100,74999,53.0,8.0
4.0,1282.0,14999.0,0,samsung,128.0,Blue,0,25490,41.0,8.0
4.3,7.0,59999.0,0,samsung,256.0,Blue,100,79999,25.0,8.0
3.8,69.0,29499.0,0,samsung,128.0,Black,100,33999,13.0,8.0
4.0,12348.0,24499.0,0,samsung,128.0,Green,0,32999,26.0,12.0
4.1,5176.0,17499.0,0,samsung,128.0,Blue,400,25999,33.0,8.0
2.6,9.0,9999.0,1,samsung,64.0,Black,50,11499,13.0,4.0
4.1,357.0,45989.0,1,samsung,256.0,Black,100,48999,6.0,12.0
3.6,600.0,23999.0,1,samsung,256.0,Black,200,31999,25.0,8.0
3.8,4920.0,9199.0,0,vivo,64.0,Blue,0,14990,39.0,3.0
5.0,10.0,21999.0,0,vivo,128.0,Silver,200,26999,19.0,8.0
5.0,10.0,23999.0,0,vivo,256.0,Black,50,28999,17.0,8.0
4.0,390.0,34439.0,0,vivo,256.0,Black,500,42999,20.0,8.0
3.8,180.0,28248.0,0,vivo,256.0,Black,400,42999,34.0,8.0
3.8,500.0,7999.0,0,vivo,64.0,Black,500,11999,33.0,4.0
3.8,870.0,14999.0,0,vivo,128.0,Red,300,19999,25.0,6.0
5.0,10.0,21999.0,0,vivo,128.0,Black,100,26999,19.0,8.0
4.3,170.0,25100.0,0,vivo,128.0,Green,100,38999,36.0,8.0
3.7,82.0,11999.0,0,vivo,128.0,Red,100,15999,25.0,4.0
3.8,50.0,7999.0,0,vivo,64.0,Green,200,11999,33.0,4.0
4.3,45.0,22998.0,0,vivo,128.0,Red,100,32999,30.0,8.0
4.1,57.0,18499.0,0,vivo,128.0,Green,300,23999,23.0,8.0
4.1,45.0,25999.0,0,vivo,256.0,Red,300,34999,26.0,8.0
4.1,45.0,23099.0,0,vivo,128.0,Blue,100,32999,30.0,8.0
5.0,1.0,23999.0,0,vivo,256.0,Silver,100,26999,11.0,8.0
4.2,16.0,25100.0,0,vivo,128.0,Blue,100,38999,36.0,8.0
3.8,87.0,14999.0,0,vivo,128.0,Black,200,19999,25.0,6.0
3.8,87.0,13499.0,0,vivo,128.0,Black,200,17999,25.0,4.0
5.0,1.0,21999.0,0,vivo,128.0,Green,50,26999,19.0,8.0
4.1,57.0,18499.0,0,vivo,128.0,Blue,300,23999,23.0,8.0
2.8,7.0,25900.0,1,vivo,128.0,Green,100,33999,24.0,8.0
3.8,87.0,16499.0,1,vivo,128.0,Red,100,21999,25.0,8.0
4.4,7.0,24490.0,1,vivo,256.0,Blue,200,34999,30.0,8.0
3.5,8.0,23999.0,1,vivo,128.0,Green,100,29999,20.0,8.0
2.9,4.0,28340.0,1,vivo,256.0,Green,100,35999,21.0,8.0
4.3,27.0,34999.0,1,vivo,128.0,Black,200,39999,13.0,8.0
3.7,82.0,11999.0,1,vivo,128.0,Green,0,15999,25.0,4.0
3.8,87.0,13499.0,1,vivo,128.0,Red,50,17999,25.0,4.0
3.8,87.0,16499.0,1,vivo,128.0,Black,50,21999,25.0,8.0
