Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",1K+ bought in past month,15999.0,₹20999,(24% off),No,Redmi,Redmi Note 13 5G ,White,6GB,128GB,1000,20999,24.0
"Redmi 13C 5G (Startrail Green,6GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",3.9,"10,021",2K+ bought in past month,10999.0,₹15999,(31% off),No,Redmi,Redmi 13C 5G ,Green,6GB,128GB,2000,15999,31.0
"Xiaomi 14 CIVI (Matcha Green, 12GB RAM, 512GB Storage)",4.3,5,0,45999.0,₹59999,(23% off),No,Xiaomi,Xiaomi 14 CIVI ,Green,12GB,512GB,0,59999,23.0
"Xiaomi 11T Pro 5G Hyperphone (Meteorite Black, 8GB RAM, 256GB Storage) |SD 888|120W HyperCharge|Segment's only Phone with Dolby Vision+Dolby Atmos",4.0,"2,561",0,25990.0,₹69999,(63% off),No,Xiaomi,Xiaomi 11T Pro 5G Hyperphone ,Black,8GB,256GB,0,69999,63.0
"(Refurbished) Xiaomi Mi A3 (Not just Blue, 6GB RAM, AMOLED Display, 128GB Storage, 4030mAH Battery)",3.2,257,0,6999.0,₹13999,(50% off),No,Xiaomi,Xiaomi Mi A3 ,Blue,6GB,128GB,0,13999,50.0
"Redmi 12 (Jade Black,6GB RAM, 128GB Storage) Without Offer",3.9,9,300+ bought in past month,9994.0,₹15999,(38% off),No,Redmi,Redmi 12 ,Black,6GB,128GB,300,15999,38.0
"Redmi 7A (Matte Black, 2GB RAM, 32GB Storage)",4.1,"8,014",0,6999.0,₹15999,(56% off),No,Redmi,Redmi 7A ,Black,2GB,32GB,0,15999,56.0
"Redmi Note 13 5G (Stealth Black, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",500+ bought in past month,15999.0,₹20999,(24% off),Yes,Redmi,Redmi Note 13 5G ,Black,6GB,128GB,500,20999,24.0
"Redmi 12 (Moonstone Silver,6GB RAM, 128GB Storage) Without Offer",3.6,10,300+ bought in past month,9898.0,₹15999,(38% off),Yes,Redmi,Redmi 12 ,Silver,6GB,128GB,300,15999,38.0
"Redmi Note 13 Pro (Arctic White, 8GB RAM, 128GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",3.9,"1,401",200+ bought in past month,22999.0,₹28999,(21% off),Yes,Redmi,Redmi Note 13 Pro ,White,8GB,128GB,200,28999,21.0
