Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%),RAM
Apple iPhone 14 Pro (128 GB) - Space Black,4.5,134,,129900.0,,,1,Apple,iPhone 14 Pro,128GB,Space Black,0,129900.0,0.0,6 GB
Apple iPhone 14 (512 GB) - Starlight,3.7,7,M.R.P:,79900.0,₹99900,(20% off),1,Apple,iPhone 14,512GB,Starlight,0,99900.0,20.0,6 GB
Apple iPhone 15 (512 GB) - Blue,4.0,5,M.R.P:,94900.0,₹109900,(14% off),1,Apple,iPhone 15,512GB,Blue,0,109900.0,14.0,6 GB
Apple iPhone 16 (512 GB) - Teal,4.5,79,,109900.0,,,1,Apple,iPhone 16,512GB,Teal,0,109900.0,0.0,8 GB
Apple iPhone 15 Pro Max (512 GB) - Black Titanium,3.6,6,M.R.P:,139900.0,₹173900,(20% off),1,Apple,iPhone 15 Pro Max,512GB,Black Titanium,0,173900.0,20.0,6 GB
Apple iPhone 14 (256 GB) - Midnight,4.3,125,M.R.P:,66900.0,₹89900,(26% off),1,Apple,iPhone 14,256GB,Midnight,0,89900.0,26.0,6 GB
Apple iPhone 16 Plus (256 GB) - Ultramarine,4.1,53,50+ bought in past month,97900.0,₹99900,(2% off),1,Apple,iPhone 16 Plus,256GB,Ultramarine,50,99900.0,2.0,8 GB
Apple iPhone 16 Pro (512 GB) - Natural Titanium,3.8,44,,149900.0,,,1,Apple,iPhone 16 Pro,512GB,Natural Titanium,0,149900.0,0.0,8 GB
Apple iPhone 15 Pro Max (512 GB) - Blue Titanium,4.2,5,M.R.P:,145900.0,₹179900,(19% off),1,Apple,iPhone 15 Pro Max,512GB,Blue Titanium,0,179900.0,19.0,6 GB
Apple iPhone 15 (128 GB) - Yellow,4.4,61,M.R.P:,65900.0,₹79600,(17% off),1,Apple,iPhone 15,128GB,Yellow,0,79600.0,17.0,6 GB
Apple iPhone 16 Pro (1 TB) - White Titanium,3.8,44,,169900.0,,,0,,,,Red,0,169900.0,0.0,8 GB
Apple iPhone 15 Pro Max (512 GB) - White Titanium,5.0,3,M.R.P:,145900.0,₹179900,(19% off),0,Apple,iPhone 15 Pro Max,512GB,White Titanium,0,179900.0,19.0,6 GB
Apple iPhone 16 Pro (512 GB) - White Titanium,3.8,44,M.R.P:,149900.0,₹149999,,0,Apple,iPhone 16 Pro,512GB,White Titanium,0,149999.0,0.0,8 GB
Apple iPhone 16 Pro (512 GB) - Natural Titanium,3.8,44,,149900.0,,,0,Apple,iPhone 16 Pro,512GB,Natural Titanium,0,149900.0,0.0,8 GB
Apple iPhone 16 Pro (512 GB) - Desert Titanium,3.8,44,50+ bought in past month,149900.0,,,0,Apple,iPhone 16 Pro,512GB,Desert Titanium,50,149900.0,0.0,8 GB
Apple iPhone 15 Pro Max (512 GB) - Blue Titanium,4.2,5,M.R.P:,145900.0,₹179900,(19% off),0,Apple,iPhone 15 Pro Max,512GB,Blue Titanium,0,179900.0,19.0,6 GB
Apple iPhone 16 Plus (256 GB) - Ultramarine,4.1,53,50+ bought in past month,97900.0,₹99900,(2% off),0,Apple,iPhone 16 Plus,256GB,Ultramarine,50,99900.0,2.0,8 GB
Apple iPhone 15 Pro Max (1 TB) - White Titanium,4.2,7,M.R.P:,159900.0,₹199900,(20% off),0,,,,Red,0,199900.0,20.0,6 GB
Apple iPhone 14 Plus (256 GB) - Purple,4.3,86,M.R.P:,74900.0,₹89900,(17% off),0,Apple,iPhone 14 Plus,256GB,Purple,0,89900.0,17.0,6 GB
Apple iPhone 14 (256 GB) - Purple,4.4,83,M.R.P:,66900.0,₹79600,(16% off),0,Apple,iPhone 14,256GB,Purple,0,79600.0,16.0,6 GB
Apple iPhone 13 (512GB) - Blue,4.3,29,M.R.P:,73999.0,₹89900,(18% off),0,Apple,iPhone 13,512GB,Blue,0,89900.0,18.0,4 or 6 GB
Apple iPhone 13 Pro Max (1TB) - Sierra Blue,4.6,"1,561",M.R.P:,139900.0,₹179900,(22% off),0,,,,Red,0,179900.0,22.0,4 or 6 GB
Apple iPhone 15 Plus (256 GB) - Pink,4.7,24,M.R.P:,86990.0,₹99900,(13% off),0,Apple,iPhone 15 Plus,256GB,Pink,0,99900.0,13.0,6 GB
Apple iPhone 15 (512 GB) - Black,4.1,6,M.R.P:,94900.0,₹109900,(14% off),0,Apple,iPhone 15,512GB,Black,0,109900.0,14.0,6 GB
Apple iPhone 14 (512 GB) - Purple,4.1,5,M.R.P:,79900.0,₹99900,(20% off),1,Apple,iPhone 14,512GB,Purple,0,99900.0,20.0,6 GB
Apple iPhone 16 Pro (512 GB) - Black Titanium,3.8,44,,149900.0,,,1,Apple,iPhone 16 Pro,512GB,Black Titanium,0,149900.0,0.0,8 GB
Apple iPhone 15 (512 GB) - Black,4.1,6,M.R.P:,94900.0,₹109900,(14% off),1,Apple,iPhone 15,512GB,Black,0,109900.0,14.0,6 GB
Apple iPhone 15 Plus (256 GB) - Pink,4.7,24,M.R.P:,86990.0,₹99900,(13% off),1,Apple,iPhone 15 Plus,256GB,Pink,0,99900.0,13.0,6 GB
Apple iPhone 14 Pro (128 GB) - Space Black,4.5,134,,129900.0,,,1,Apple,iPhone 14 Pro,128GB,Space Black,0,129900.0,0.0,6 GB
Apple iPhone 14 (128 GB) - Yellow,4.5,151,M.R.P:,54900.0,₹79900,(31% off),1,Apple,iPhone 14,128GB,Yellow,0,79900.0,31.0,6 GB
Apple iPhone 15 Plus (128 GB) - Yellow,4.3,24,M.R.P:,69900.0,₹89900,(22% off),1,Apple,iPhone 15 Plus,128GB,Yellow,0,89900.0,22.0,6 GB
Apple iPhone 13 Pro Max (128GB) - Graphite,4.6,"1,561",M.R.P:,109000.0,₹129900,(16% off),1,Apple,iPhone 13 Pro Max,128GB,Graphite,0,129900.0,16.0,4 or 6 GB
Apple iPhone 15 Plus (512 GB) - Blue,5.0,1,M.R.P:,99900.0,₹119900,(17% off),1,Apple,iPhone 15 Plus,512GB,Blue,0,119900.0,17.0,6 GB
Apple iPhone 14 Plus (256 GB) - Starlight,4.5,84,M.R.P:,74900.0,₹99900,(25% off),1,Apple,iPhone 14 Plus,256GB,Starlight,0,99900.0,25.0,6 GB
Apple iPhone 14 (256 GB) - Yellow,4.2,26,M.R.P:,66900.0,₹89900,(26% off),1,Apple,iPhone 14,256GB,Yellow,0,89900.0,26.0,6 GB
Apple iPhone 15 Pro (1 TB) - Black Titanium,4.2,4,M.R.P:,149900.0,₹184900,(19% off),1,,,,Red,0,184900.0,19.0,6 GB
Apple iPhone 15 Pro Max (1 TB) - Blue Titanium,4.2,7,M.R.P:,159900.0,₹199900,(20% off),1,,,,Red,0,199900.0,20.0,6 GB
Apple iPhone 14 (128 GB) - Yellow,4.5,151,M.R.P:,54900.0,₹79900,(31% off),1,Apple,iPhone 14,128GB,Yellow,0,79900.0,31.0,6 GB
Apple iPhone 14 Plus (512 GB) - Midnight,4.2,8,M.R.P:,89900.0,₹119900,(25% off),1,Apple,iPhone 14 Plus,512GB,Midnight,0,119900.0,25.0,6 GB
Apple iPhone 16 Pro Max (512 GB) - Natural Titanium,5.0,2,,164900.0,,,1,Apple,iPhone 16 Pro Max,512GB,Natural Titanium,0,164900.0,0.0,8 GB
Apple iPhone 15 Pro Max (1 TB) - Blue Titanium,4.2,7,M.R.P:,159900.0,₹199900,(20% off),1,,,,Red,0,199900.0,20.0,6 GB
Apple iPhone 14 (512 GB) - Purple,4.1,5,M.R.P:,79900.0,₹99900,(20% off),1,Apple,iPhone 14,512GB,Purple,0,99900.0,20.0,6 GB
Apple iPhone 15 Plus (256 GB) - Yellow,4.4,14,50+ bought in past month,86990.0,₹99900,(13% off),1,Apple,iPhone 15 Plus,256GB,Yellow,50,99900.0,13.0,6 GB
Apple iPhone 14 (256 GB) - Starlight,4.6,98,M.R.P:,69900.0,₹89900,(22% off),1,Apple,iPhone 14,256GB,Starlight,0,89900.0,22.0,6 GB
