rating_stars,number_of_reviews,bought_last_month,original_mrp,discount%,free_delivery,storage_in_GB,RAM_in_GB,brand_apple,brand_oneplus,brand_oppo,brand_realme,brand_samsung,brand_vivo,brand_xiaomi,color_Black,color_Black Titanium,color_Blue,color_Blue Titanium,color_Desert Titanium,color_Gold,color_Graphite,color_Gray,color_Green,color_Midnight,color_Natural Titanium,color_Pacific Blue,color_Pink,color_Purple,color_Red,color_Silver,color_Space Black,color_Starlight,color_Teal,color_Ultramarine,color_White,color_White Titanium,color_Yellow
0.8,-0.1856812039388335,-0.37072693146886204,0.6782236319879893,-0.323077,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,-0.19230642054993446,-0.45407797776463416,1.1111091335098853,-0.569231,-1,2.3288190037264562,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.7,-0.18022920276928167,-0.28737588517308993,0.6782236319879893,-0.538462,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,-0.18630231799612423,-0.45407797776463416,2.051515567850556,-0.507692,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.75,-0.154004387017007,0.37943248519308703,0.25173545314868284,-0.353846,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,-0.19113320510838536,-0.45407797776463416,0.6846209546705788,-0.507692,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.75,-0.18692343205341494,-0.37072693146886204,0.6846209546705788,-1.0,-1,0.3369567054572136,0.1600031796843969,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,-0.18022920276928167,-0.28737588517308993,0.6782236319879893,-0.538462,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,-0.18692343205341494,-0.37072693146886204,0.6846209546705788,-1.0,-1,0.3369567054572136,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8,-0.1856812039388335,-0.37072693146886204,0.6782236319879893,-0.323077,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.75,-0.177330670501925,-0.28737588517308993,0.6782236319879893,-0.569231,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,-0.18692343205341494,-0.41240245461674807,0.6846209546705788,-1.0,-1,0.3369567054572136,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.55,-0.18871776155225478,-0.37072693146886204,0.6846209546705788,-0.907692,-1,-0.6589744436774078,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.75,-0.17042940319869482,-0.12067379258154567,0.25173545314868284,-0.353846,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,-0.10051956541697316,-0.37072693146886204,0.25173545314868284,-0.353846,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,-0.19230642054993446,-0.45407797776463416,1.1111091335098853,-0.569231,-1,2.3288190037264562,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.7,-0.17767573386708652,-0.37072693146886204,0.46497954256833607,-0.476923,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.55,-0.18871776155225478,-0.37072693146886204,0.6846209546705788,-0.907692,-1,-0.6589744436774078,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.55,-0.18871776155225478,-0.37072693146886204,0.6846209546705788,-0.907692,-1,-0.6589744436774078,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.4,-0.18933887560954551,-0.37072693146886204,1.3243532229295385,-1.0,-1,-0.6589744436774078,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.8,-0.10051956541697316,-0.37072693146886204,0.25173545314868284,-0.353846,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,-0.19168530649264376,-0.45407797776463416,3.030305938286764,-0.384615,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.75,-0.18692343205341494,-0.45407797776463416,0.6846209546705788,-1.0,-1,0.3369567054572136,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.3,-0.19189234451174067,-0.45407797776463416,3.030305938286764,-0.384615,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.7,-0.17767573386708652,-0.37072693146886204,0.46497954256833607,-0.476923,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.75,-0.16470135133701377,-0.41240245461674807,0.2581327758312724,-0.353846,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
